,County,City
159,Alameda,Hayward
212,Alameda,Livermore
271,Alameda,Oakland
304,Alameda,Pleasanton
109,Alameda,Dublin
354,Alameda,San Leandro
117,Alameda,Emeryville
264,Alameda,Newark
419,Alameda,Union City
35,Alameda,Berkeley
297,Alameda,Piedmont
2,Alameda,Alameda
138,Alameda,Fremont
3,Alameda,Albany
180,Amador,Ione
402,Amador,Sutter Creek
305,Amador,Plymouth
184,Amador,Jackson
6,Amador,Amador City
38,Butte,Biggs
64,Butte,Chico
151,Butte,Gridley
288,Butte,Paradise
279,Butte,Oroville
9,Calaveras,Angels
443,Colusa,Williams
77,Colusa,Colusa
96,Contra Costa,Danville
359,Contra Costa,San Pablo
254,Contra Costa,Moraga
197,Contra Costa,Lafayette
430,Contra Costa,Walnut Creek
114,Contra Costa,El Cerrito
45,Contra Costa,Brentwood
323,Contra Costa,Richmond
303,Contra Costa,Pleasant Hill
234,Contra Costa,Martinez
298,Contra Costa,Pinole
162,Contra Costa,Hercules
10,Contra Costa,Antioch
69,Contra Costa,Clayton
300,Contra Costa,Pittsburg
361,Contra Costa,San Ramon
277,Contra Costa,Orinda
80,Contra Costa,Concord
89,Del Norte,Crescent City
302,El Dorado,Placerville
393,El Dorado,South Lake Tahoe
381,Fresno,Selma
71,Fresno,Clovis
350,Fresno,San Joaquin
173,Fresno,Huron
238,Fresno,Mendota
129,Fresno,Firebaugh
187,Fresno,Kingsburg
139,Fresno,Fresno
290,Fresno,Parlier
137,Fresno,Fowler
185,Fresno,Kerman
276,Fresno,Orange Cove
73,Fresno,Coalinga
321,Fresno,Reedley
363,Fresno,Sanger
278,Glenn,Orland
445,Glenn,Willows
134,Humboldt,Fortuna
40,Humboldt,Blue Lake
412,Humboldt,Trinidad
127,Humboldt,Ferndale
122,Humboldt,Eureka
13,Humboldt,Arcata
325,Humboldt,Rio Dell
113,Imperial,El Centro
169,Imperial,Holtville
174,Imperial,Imperial
440,Imperial,Westmorland
52,Imperial,Calipatria
43,Imperial,Brawley
50,Imperial,Calexico
39,Inyo,Bishop
382,Kern,Shafter
16,Kern,Arvin
24,Kern,Bakersfield
100,Kern,Delano
324,Kern,Ridgecrest
51,Kern,California City
431,Kern,Wasco
237,Kern,McFarland
232,Kern,Maricopa
403,Kern,Taft
404,Kern,Tehachapi
156,Kings,Hanford
81,Kings,Corcoran
22,Kings,Avenal
208,Kings,Lemoore
201,Lake,Lakeport
401,Lassen,Susanville
172,Los Angeles,Huntington Park
227,Los Angeles,Lynwood
165,Los Angeles,Hidden Hills
163,Los Angeles,Hermosa Beach
158,Los Angeles,Hawthorne
367,Los Angeles,Santa Clarita
146,Los Angeles,Glendora
145,Los Angeles,Glendale
357,Los Angeles,San Marino
157,Los Angeles,Hawaiian Gardens
345,Los Angeles,San Dimas
179,Los Angeles,Inglewood
291,Los Angeles,Pasadena
289,Los Angeles,Paramount
287,Los Angeles,Palos Verdes Estates
285,Los Angeles,Palmdale
268,Los Angeles,Norwalk
307,Los Angeles,Pomona
315,Los Angeles,Rancho Palos Verdes
319,Los Angeles,Redondo Beach
252,Los Angeles,Monterey Park
250,Los Angeles,Montebello
246,Los Angeles,Monrovia
332,Los Angeles,Rolling Hills
236,Los Angeles,Maywood
333,Los Angeles,Rolling Hills Estates
334,Los Angeles,Rosemead
230,Los Angeles,Manhattan Beach
223,Los Angeles,Los Angeles
182,Los Angeles,Irwindale
188,Los Angeles,La Cañada Flintridge
190,Los Angeles,La Habra Heights
192,Los Angeles,La Mirada
194,Los Angeles,La Puente
196,Los Angeles,La Verne
178,Los Angeles,Industry
202,Los Angeles,Lakewood
206,Los Angeles,Lawndale
348,Los Angeles,San Gabriel
346,Los Angeles,San Fernando
369,Los Angeles,Santa Fe Springs
216,Los Angeles,Lomita
218,Los Angeles,Long Beach
203,Los Angeles,Lancaster
143,Los Angeles,Gardena
296,Los Angeles,Pico Rivera
36,Los Angeles,Beverly Hills
60,Los Angeles,Carson
108,Los Angeles,Duarte
107,Los Angeles,Downey
424,Los Angeles,Vernon
25,Los Angeles,Baldwin Park
102,Los Angeles,Diamond Bar
12,Los Angeles,Arcadia
30,Los Angeles,Bell Gardens
15,Los Angeles,Artesia
407,Los Angeles,Temple City
91,Los Angeles,Culver City
90,Los Angeles,Cudahy
88,Los Angeles,Covina
29,Los Angeles,Bell
68,Los Angeles,Claremont
438,Los Angeles,Westlake Village
410,Los Angeles,Torrance
79,Los Angeles,Compton
78,Los Angeles,Commerce
21,Los Angeles,Avalon
23,Los Angeles,Azusa
31,Los Angeles,Bellflower
394,Los Angeles,South Pasadena
63,Los Angeles,Cerritos
442,Los Angeles,Whittier
436,Los Angeles,West Hollywood
48,Los Angeles,Burbank
4,Los Angeles,Alhambra
383,Los Angeles,Sierra Madre
115,Los Angeles,El Monte
1,Los Angeles,Agoura Hills
384,Los Angeles,Signal Hill
42,Los Angeles,Bradbury
429,Los Angeles,Walnut
391,Los Angeles,South El Monte
435,Los Angeles,West Covina
392,Los Angeles,South Gate
116,Los Angeles,El Segundo
371,Los Angeles,Santa Monica
228,Madera,Madera
66,Madera,Chowchilla
339,Marin,San Anselmo
33,Marin,Belvedere
241,Marin,Mill Valley
409,Marin,Tiburon
269,Marin,Novato
376,Marin,Sausalito
336,Marin,Ross
124,Marin,Fairfax
204,Marin,Larkspur
360,Marin,San Rafael
85,Marin,Corte Madera
418,Mendocino,Ukiah
306,Mendocino,Point Arena
444,Mendocino,Willits
132,Mendocino,Fort Bragg
154,Merced,Gustine
19,Merced,Atwater
224,Merced,Los Banos
240,Merced,Merced
213,Merced,Livingston
106,Merced,Dos Palos
5,Modoc,Alturas
229,Mono,Mammoth Lakes
338,Monterey,Salinas
233,Monterey,Marina
251,Monterey,Monterey
58,Monterey,Carmel-By-The-Sea
147,Monterey,Gonzales
387,Monterey,Soledad
379,Monterey,Seaside
281,Monterey,Pacific Grove
362,Monterey,Sand City
150,Monterey,Greenfield
99,Monterey,Del Rey Oaks
186,Monterey,King City
396,Napa,St. Helena
53,Napa,Calistoga
451,Napa,Yountville
260,Napa,Napa
149,Nevada,Grass Valley
263,Nevada,Nevada City
378,Orange,Seal Beach
416,Orange,Tustin
364,Orange,Santa Ana
47,Orange,Buena Park
44,Orange,Brea
136,Orange,Fountain Valley
140,Orange,Fullerton
